"level_1_id","payload","title"
"1","undergraduate","Undergraduate"
"2","postgraduate","Postgraduate"
"3","postgraduatediploma","Postgraduate Diploma"
"4","diploma","Diploma"
"5","phd","PhD"
"31","31","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"32","32",
"33","33","Bachelor of Science in Physics or BSc Physics is a 3 year undergraduate course, which deals with the nuances of Physics and its various properties. The curriculum is divided into 6 semesters, spanning over three years. It includes the specialized scientific study of Physics, Mathematics, and Chemistry in detail.

B.Sc curriculum includes core courses in:
Introduction to Mathematical Physics
Mechanics
Heat and Thermodynamics
Electricity and Magnetism
Electromagnetic Theory
Quantum Mechanics
Atomic and Molecular Physics

The elective courses include:
Optics
Modern Physics
Oscillations, Waves and Sound
Introduction to Astronomy and Astrophysics
Instrumentation 
Electronics 
Introduction to Error Analysis
Properties of Matter and Acoustics
Computational Physics
Solid State Physics
Thermodynamics and Statistical Mechanics
Mathematical Physics
Solid State Devices
Nuclear and Elementary Particle Physics
Introduction to Special Theory of Relativity
Introduction to Material Science
"
"34","34","University fees : 620.00
Tuition fees : 4000.00
Examination fees : 5000.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 6000.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 42600.00
"
"35","35","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"36","36",
"37","37","A three year bachelor's degree program in English language focuses on different aspects of the subject. This course looks at the history, grammar, and ancient forms of English.. Individuals who wish to teach English will need to take additional education courses in order to obtain a teaching license.

B.a curriculum includes core courses in:
Understanding Poetry & Drama
History of English Literature from Fifth Century to the Eighteenth Century
Understanding
Fiction An Introduction to Linguistics & Stylistics
Contemporary Indian English Literature 
Literary Criticism
Nineteenth Century English Literature
Twentieth Century English Literature

Effective English Communication (Science Stream)

The elective courses include:
Women’s Writing in India
American Literature of the Twentieth Century
Writing for the Media 
New Literatures in English
The Literature of the Indian Diaspora
Visual Literature
World Literature
Shakespeare Today
English Language and Literature Teaching
Ancient Indian Classics in Translation OR Modern Indian Literature in Translation
Latin American Literature
Film Studies
Contemporary Literary Theory
Goan Literature and Culture
Representation of Gender & Sexuality in Literature
"
"38","38","University fees : 630.00
Tuition fees : 1530.00
Examination fees : 3250.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 26035.00
"
"39","39","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy
"
"40","40",
"41","41","economics"
"42","42","University fees : 620.00
Tuition fees : 1930.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 28995.00
"
"43","43","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy
"
"44","44",
"45","45","hindi details"
"46","46","University fees : 720.00
Tuition fees : 1230.00
Examination fees : 3250.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 8000.00
IAIMS fees: 225

Total : 25600.00
"
"47","47","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy
"
"48","48",
"49","49","BA in geography details"
"50","50","University fees : 750.00
Tuition fees : 1860.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 23500.00
"
"51","51","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"52","52",
"53","53","history"
"54","54","University fees : 620.00
Tuition fees : 1230.00
Examination fees : 2250.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 6000
Library fee : 470.00
Student service charges : 9000.00
IAIMS fees: 225

Total : 27660.00
"
"55","55","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"56","56",
"57","57","BA French or Bachelor of Arts in French language is a 3 year undergraduate course degree which is one of the premium language courses offered by many colleges and universities in India. This course consists of integrated French language and literature with emphasis being laid on spoken French, structure, grammar and writing skills as well as studying literature and poems of France to gain more knowledge and grasp complex language phonetics and linguistic approaches

B.a curriculum includes core courses in:
Language in Context: Developing Reading and Writing Skills
Language in Context: Developing Listening and Speaking Skills

The elective courses include:
French for Tourism and Hospitality 
Study of Selected Elementary Texte in French
Introduction to Francophone
Initiation to Translation
Overview of 17th Century French Literature
Overview of 18th Century French Literature
Overview of 19th Century French Literature
Business Communication in French
Study of Collection of French Short Stories
"
"58","58","University fees : 630.00
Tuition fees : 1500.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 25690.00
"
"59","59","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"60","60",
"61","61","konkani details"
"62","62","University fees : 660.00
Tuition fees : 1600.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 10000.00
IAIMS fees: 225

Total : 28500.00
"
"63","63","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"64","64",
"65","65","marathi details"
"66","66","University fees : 630.00
Tuition fees : 1300.00
Examination fees : 5650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Student service charges : 9000.00
IAIMS fees: 225


Total : 25500.00
"
"67","67","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"68","68",
"69","69","psychology details"
"70","70","University fees : 800.00
Tuition fees : 1600.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Laboratory fees : 6000
Student service charges : 10000.00
IAIMS fees: 225

Total : 30500.00
"
"71","71","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"72","72",
"73","73","philosophy details"
"74","74","University fees : 620.00
Tuition fees : 1800.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Laboratory fees : 6000
Student service charges : 10000.00
IAIMS fees: 225

Total : 26600.00
"
"75","75","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"76","76",
"77","77","sociology details"
"78","78","University fees : 620.00
Tuition fees : 1900.00
Examination fees : 8650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 7000
Library fee : 470.00
Laboratory fees : 6000
Student service charges : 9000.00
IAIMS fees: 225

Total : 24600.00
"
"79","79","How to apply:
To apply for admission, please visit our college website
http://www.chowgules.ac.in/admission/ and complete the online admission form as per
instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self attested) of each of the following
documents along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XII).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript
of records, copy of syllabus containing details of course of studies pursued in various courses
in the examination passed by the applicant (duly countersigned by High Commissioner of
India in the country). If the student is found eligible, prima facie letter will be sent to the
student for carrying out further necessary formalities. Following documents are required to be
Submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"80","80",
"81","81","Portuguese details"
"82","82","University fees : 640.00
Tuition fees : 1500.00
Examination fees : 3650.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Additional credits: 8000
Library fee : 470.00
Laboratory fees : 6000
Student service charges : 10000.00
IAIMS fees: 225

Total : 27000.00
"
